指标,年份,数值,省份
城镇居民人均可支配收入 (元) ,2021年,37745.0,青海省
农村居民人均可支配收入 (元) ,2021年,13604.0,青海省
全体居民人均可支配收入 (元) ,2025年,,黑龙江省
城镇居民人均可支配收入 (元) ,2025年,,黑龙江省
农村居民人均可支配收入 (元) ,2025年,,黑龙江省
全体居民人均可支配收入 (元) ,2024年,31269.0,黑龙江省
城镇居民人均可支配收入 (元) ,2024年,38212.0,黑龙江省
农村居民人均可支配收入 (元) ,2024年,20963.0,黑龙江省
全体居民人均可支配收入 (元) ,2023年,29694.0,黑龙江省
城镇居民人均可支配收入 (元) ,2023年,36492.0,黑龙江省
农村居民人均可支配收入 (元) ,2023年,19756.0,黑龙江省
全体居民人均可支配收入 (元) ,2022年,28346.0,黑龙江省
城镇居民人均可支配收入 (元) ,2022年,35042.0,黑龙江省
农村居民人均可支配收入 (元) ,2022年,18577.0,黑龙江省
全体居民人均可支配收入 (元) ,2021年,27159.0,黑龙江省
城镇居民人均可支配收入 (元) ,2021年,33646.0,黑龙江省
农村居民人均可支配收入 (元) ,2021年,17889.0,黑龙江省
