指标,年份,数值,省份
农村居民人均可支配收入 (元) ,2021年,27955.0,天津市
全体居民人均可支配收入 (元) ,2025年,,宁夏回族自治区
城镇居民人均可支配收入 (元) ,2025年,,宁夏回族自治区
农村居民人均可支配收入 (元) ,2025年,,宁夏回族自治区
全体居民人均可支配收入 (元) ,2024年,33355.0,宁夏回族自治区
城镇居民人均可支配收入 (元) ,2024年,44449.0,宁夏回族自治区
农村居民人均可支配收入 (元) ,2024年,19015.0,宁夏回族自治区
全体居民人均可支配收入 (元) ,2023年,31604.0,宁夏回族自治区
城镇居民人均可支配收入 (元) ,2023年,42395.0,宁夏回族自治区
农村居民人均可支配收入 (元) ,2023年,17772.0,宁夏回族自治区
全体居民人均可支配收入 (元) ,2022年,29599.0,宁夏回族自治区
城镇居民人均可支配收入 (元) ,2022年,40194.0,宁夏回族自治区
农村居民人均可支配收入 (元) ,2022年,16430.0,宁夏回族自治区
全体居民人均可支配收入 (元) ,2021年,27904.0,宁夏回族自治区
城镇居民人均可支配收入 (元) ,2021年,38291.0,宁夏回族自治区
农村居民人均可支配收入 (元) ,2021年,15337.0,宁夏回族自治区
全体居民人均可支配收入 (元) ,2025年,,安徽省
城镇居民人均可支配收入 (元) ,2025年,,安徽省
农村居民人均可支配收入 (元) ,2025年,,安徽省
全体居民人均可支配收入 (元) ,2024年,36782.0,安徽省
城镇居民人均可支配收入 (元) ,2024年,49539.0,安徽省
农村居民人均可支配收入 (元) ,2024年,22507.0,安徽省
全体居民人均可支配收入 (元) ,2023年,34893.0,安徽省
城镇居民人均可支配收入 (元) ,2023年,47446.0,安徽省
农村居民人均可支配收入 (元) ,2023年,21144.0,安徽省
全体居民人均可支配收入 (元) ,2022年,32745.0,安徽省
城镇居民人均可支配收入 (元) ,2022年,45133.0,安徽省
农村居民人均可支配收入 (元) ,2022年,19575.0,安徽省
全体居民人均可支配收入 (元) ,2021年,30904.0,安徽省
城镇居民人均可支配收入 (元) ,2021年,43009.0,安徽省
农村居民人均可支配收入 (元) ,2021年,18372.0,安徽省
全体居民人均可支配收入 (元) ,2025年,,山东省
城镇居民人均可支配收入 (元) ,2025年,,山东省
农村居民人均可支配收入 (元) ,2025年,,山东省
全体居民人均可支配收入 (元) ,2024年,42077.0,山东省
城镇居民人均可支配收入 (元) ,2024年,54062.0,山东省
农村居民人均可支配收入 (元) ,2024年,25257.0,山东省
全体居民人均可支配收入 (元) ,2023年,39890.0,山东省
城镇居民人均可支配收入 (元) ,2023年,51571.0,山东省
农村居民人均可支配收入 (元) ,2023年,23776.0,山东省
全体居民人均可支配收入 (元) ,2022年,37560.0,山东省
城镇居民人均可支配收入 (元) ,2022年,49050.0,山东省
农村居民人均可支配收入 (元) ,2022年,22110.0,山东省
