指标,年份,数值,省份
农村居民人均可支配收入 (元),2024,25257.0,山东省
全体居民人均可支配收入 (元),2023,39890.0,山东省
城镇居民人均可支配收入 (元),2023,51571.0,山东省
农村居民人均可支配收入 (元),2023,23776.0,山东省
全体居民人均可支配收入 (元),2022,37560.0,山东省
城镇居民人均可支配收入 (元),2022,49050.0,山东省
农村居民人均可支配收入 (元),2022,22110.0,山东省
全体居民人均可支配收入 (元),2021,35705.0,山东省
城镇居民人均可支配收入 (元),2021,47066.0,山东省
农村居民人均可支配收入 (元),2021,20794.0,山东省
全体居民人均可支配收入 (元),2024,32441.0,山西省
城镇居民人均可支配收入 (元),2024,43036.0,山西省
农村居民人均可支配收入 (元),2024,18741.0,山西省
全体居民人均可支配收入 (元),2023,30924.0,山西省
城镇居民人均可支配收入 (元),2023,41327.0,山西省
农村居民人均可支配收入 (元),2023,17677.0,山西省
全体居民人均可支配收入 (元),2022,29178.0,山西省
城镇居民人均可支配收入 (元),2022,39532.0,山西省
农村居民人均可支配收入 (元),2022,16323.0,山西省
全体居民人均可支配收入 (元),2021,27426.0,山西省
城镇居民人均可支配收入 (元),2021,37433.0,山西省
农村居民人均可支配收入 (元),2021,15308.0,山西省
全体居民人均可支配收入 (元),2024,51474.0,广东省
城镇居民人均可支配收入 (元),2024,61629.0,广东省
农村居民人均可支配收入 (元),2024,26729.0,广东省
全体居民人均可支配收入 (元),2023,49327.0,广东省
城镇居民人均可支配收入 (元),2023,59307.0,广东省
农村居民人均可支配收入 (元),2023,25142.0,广东省
全体居民人均可支配收入 (元),2022,47065.0,广东省
城镇居民人均可支配收入 (元),2022,56905.0,广东省
农村居民人均可支配收入 (元),2022,23598.0,广东省
全体居民人均可支配收入 (元),2021,44993.0,广东省
城镇居民人均可支配收入 (元),2021,54854.0,广东省
农村居民人均可支配收入 (元),2021,22306.0,广东省
全体居民人均可支配收入 (元),2024,31125.0,广西壮族自治区
城镇居民人均可支配收入 (元),2024,43044.0,广西壮族自治区
农村居民人均可支配收入 (元),2024,19954.0,广西壮族自治区
全体居民人均可支配收入 (元),2023,29514.0,广西壮族自治区
城镇居民人均可支配收入 (元),2023,41287.0,广西壮族自治区
农村居民人均可支配收入 (元),2023,18656.0,广西壮族自治区
全体居民人均可支配收入 (元),2022,27981.0,广西壮族自治区
城镇居民人均可支配收入 (元),2022,39703.0,广西壮族自治区
农村居民人均可支配收入 (元),2022,17433.0,广西壮族自治区
全体居民人均可支配收入 (元),2021,26727.0,广西壮族自治区
城镇居民人均可支配收入 (元),2021,38530.0,广西壮族自治区
农村居民人均可支配收入 (元),2021,16363.0,广西壮族自治区
全体居民人均可支配收入 (元),2024,30899.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元),2024,42820.0,新疆维吾尔自治区
农村居民人均可支配收入 (元),2024,19427.0,新疆维吾尔自治区
全体居民人均可支配收入 (元),2023,28947.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元),2023,40578.0,新疆维吾尔自治区
农村居民人均可支配收入 (元),2023,17948.0,新疆维吾尔自治区
全体居民人均可支配收入 (元),2022,27063.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元),2022,38410.0,新疆维吾尔自治区
农村居民人均可支配收入 (元),2022,16550.0,新疆维吾尔自治区
全体居民人均可支配收入 (元),2021,26075.0,新疆维吾尔自治区
城镇居民人均可支配收入 (元),2021,37642.0,新疆维吾尔自治区
农村居民人均可支配收入 (元),2021,15575.0,新疆维吾尔自治区
全体居民人均可支配收入 (元),2024,55415.0,江苏省
城镇居民人均可支配收入 (元),2024,66173.0,江苏省
农村居民人均可支配收入 (元),2024,32414.0,江苏省
全体居民人均可支配收入 (元),2023,52674.0,江苏省
城镇居民人均可支配收入 (元),2023,63211.0,江苏省
农村居民人均可支配收入 (元),2023,30488.0,江苏省
全体居民人均可支配收入 (元),2022,49862.0,江苏省
城镇居民人均可支配收入 (元),2022,60178.0,江苏省
农村居民人均可支配收入 (元),2022,28486.0,江苏省
全体居民人均可支配收入 (元),2021,47498.0,江苏省
城镇居民人均可支配收入 (元),2021,57743.0,江苏省
农村居民人均可支配收入 (元),2021,26791.0,江苏省
全体居民人均可支配收入 (元),2024,36007.0,江西省
城镇居民人均可支配收入 (元),2024,47514.0,江西省
农村居民人均可支配收入 (元),2024,22673.0,江西省
全体居民人均可支配收入 (元),2023,34242.0,江西省
城镇居民人均可支配收入 (元),2023,45554.0,江西省
农村居民人均可支配收入 (元),2023,21358.0,江西省
全体居民人均可支配收入 (元),2022,32419.0,江西省
城镇居民人均可支配收入 (元),2022,43697.0,江西省
农村居民人均可支配收入 (元),2022,19936.0,江西省
全体居民人均可支配收入 (元),2021,30610.0,江西省
城镇居民人均可支配收入 (元),2021,41684.0,江西省
农村居民人均可支配收入 (元),2021,18684.0,江西省
全体居民人均可支配收入 (元),2024,34665.0,河北省
城镇居民人均可支配收入 (元),2024,45610.0,河北省
农村居民人均可支配收入 (元),2024,22022.0,河北省
全体居民人均可支配收入 (元),2023,32903.0,河北省
城镇居民人均可支配收入 (元),2023,43631.0,河北省
农村居民人均可支配收入 (元),2023,20688.0,河北省
全体居民人均可支配收入 (元),2022,30867.0,河北省
城镇居民人均可支配收入 (元),2022,41278.0,河北省
农村居民人均可支配收入 (元),2022,19364.0,河北省
全体居民人均可支配收入 (元),2021,29383.0,河北省
城镇居民人均可支配收入 (元),2021,39791.0,河北省
农村居民人均可支配收入 (元),2021,18179.0,河北省
全体居民人均可支配收入 (元),2024,31552.0,河南省
城镇居民人均可支配收入 (元),2024,42027.0,河南省
农村居民人均可支配收入 (元),2024,21330.0,河南省
全体居民人均可支配收入 (元),2023,29933.0,河南省
城镇居民人均可支配收入 (元),2023,40234.0,河南省
农村居民人均可支配收入 (元),2023,20053.0,河南省
全体居民人均可支配收入 (元),2022,28222.0,河南省
城镇居民人均可支配收入 (元),2022,38484.0,河南省
农村居民人均可支配收入 (元),2022,18697.0,河南省
全体居民人均可支配收入 (元),2021,26811.0,河南省
城镇居民人均可支配收入 (元),2021,37095.0,河南省
农村居民人均可支配收入 (元),2021,17533.0,河南省
全体居民人均可支配收入 (元),2024,67013.0,浙江省
城镇居民人均可支配收入 (元),2024,78251.0,浙江省
农村居民人均可支配收入 (元),2024,42786.0,浙江省
全体居民人均可支配收入 (元),2023,63830.0,浙江省
城镇居民人均可支配收入 (元),2023,74997.0,浙江省
农村居民人均可支配收入 (元),2023,40311.0,浙江省
全体居民人均可支配收入 (元),2022,60302.0,浙江省
城镇居民人均可支配收入 (元),2022,71268.0,浙江省
农村居民人均可支配收入 (元),2022,37565.0,浙江省
全体居民人均可支配收入 (元),2021,57541.0,浙江省
城镇居民人均可支配收入 (元),2021,68487.0,浙江省
农村居民人均可支配收入 (元),2021,35247.0,浙江省
全体居民人均可支配收入 (元),2024,34829.0,海南省
城镇居民人均可支配收入 (元),2024,44307.0,海南省
农村居民人均可支配收入 (元),2024,22146.0,海南省
全体居民人均可支配收入 (元),2023,33192.0,海南省
城镇居民人均可支配收入 (元),2023,42661.0,海南省
农村居民人均可支配收入 (元),2023,20708.0,海南省
全体居民人均可支配收入 (元),2022,30957.0,海南省
城镇居民人均可支配收入 (元),2022,40118.0,海南省
农村居民人均可支配收入 (元),2022,19117.0,海南省
全体居民人均可支配收入 (元),2021,30457.0,海南省
城镇居民人均可支配收入 (元),2021,40213.0,海南省
农村居民人均可支配收入 (元),2021,18076.0,海南省
全体居民人均可支配收入 (元),2024,36947.0,湖北省
城镇居民人均可支配收入 (元),2024,46987.0,湖北省
农村居民人均可支配收入 (元),2024,22580.0,湖北省
全体居民人均可支配收入 (元),2023,35146.0,湖北省
城镇居民人均可支配收入 (元),2023,44990.0,湖北省
农村居民人均可支配收入 (元),2023,21293.0,湖北省
全体居民人均可支配收入 (元),2022,32914.0,湖北省
城镇居民人均可支配收入 (元),2022,42626.0,湖北省
农村居民人均可支配收入 (元),2022,19709.0,湖北省
全体居民人均可支配收入 (元),2021,30829.0,湖北省
城镇居民人均可支配收入 (元),2021,40278.0,湖北省
农村居民人均可支配收入 (元),2021,18259.0,湖北省
全体居民人均可支配收入 (元),2024,37679.0,湖南省
城镇居民人均可支配收入 (元),2024,51243.0,湖南省
农村居民人均可支配收入 (元),2024,22204.0,湖南省
全体居民人均可支配收入 (元),2023,35895.0,湖南省
城镇居民人均可支配收入 (元),2023,49243.0,湖南省
农村居民人均可支配收入 (元),2023,20921.0,湖南省
全体居民人均可支配收入 (元),2022,34036.0,湖南省
城镇居民人均可支配收入 (元),2022,47301.0,湖南省
农村居民人均可支配收入 (元),2022,19546.0,湖南省
全体居民人均可支配收入 (元),2021,31993.0,湖南省
城镇居民人均可支配收入 (元),2021,44866.0,湖南省
农村居民人均可支配收入 (元),2021,18295.0,湖南省
全体居民人均可支配收入 (元),2024,26612.0,甘肃省
城镇居民人均可支配收入 (元),2024,41842.0,甘肃省
农村居民人均可支配收入 (元),2024,14105.0,甘肃省
全体居民人均可支配收入 (元),2023,25011.0,甘肃省
城镇居民人均可支配收入 (元),2023,39833.0,甘肃省
农村居民人均可支配收入 (元),2023,13131.0,甘肃省
