指标,年份,数值,省份
农村居民人均消费支出 (元) ,2023,21553.0,天津市
全体居民人均消费支出 (元) ,2024,31324.0,天津市
城镇居民人均消费支出 (元) ,2024,33824.0,天津市
农村居民人均消费支出 (元) ,2024,18934.0,天津市
全体居民人均消费支出 (元) ,2025,33188.0,天津市
城镇居民人均消费支出 (元) ,2025,36067.0,天津市
农村居民人均消费支出 (元) ,2025,19285.0,天津市
全体居民人均消费支出 (元) ,2021,,宁夏回族自治区
城镇居民人均消费支出 (元) ,2021,,宁夏回族自治区
农村居民人均消费支出 (元) ,2021,,宁夏回族自治区
全体居民人均消费支出 (元) ,2022,22865.0,宁夏回族自治区
城镇居民人均消费支出 (元) ,2022,28469.0,宁夏回族自治区
农村居民人均消费支出 (元) ,2022,15622.0,宁夏回族自治区
全体居民人均消费支出 (元) ,2023,21629.0,宁夏回族自治区
城镇居民人均消费支出 (元) ,2023,27076.0,宁夏回族自治区
农村居民人均消费支出 (元) ,2023,14649.0,宁夏回族自治区
全体居民人均消费支出 (元) ,2024,19136.0,宁夏回族自治区
城镇居民人均消费支出 (元) ,2024,24213.0,宁夏回族自治区
农村居民人均消费支出 (元) ,2024,12825.0,宁夏回族自治区
全体居民人均消费支出 (元) ,2025,20024.0,宁夏回族自治区
城镇居民人均消费支出 (元) ,2025,25386.0,宁夏回族自治区
农村居民人均消费支出 (元) ,2025,13536.0,宁夏回族自治区
全体居民人均消费支出 (元) ,2021,,安徽省
城镇居民人均消费支出 (元) ,2021,,安徽省
农村居民人均消费支出 (元) ,2021,,安徽省
全体居民人均消费支出 (元) ,2022,24996.0,安徽省
城镇居民人均消费支出 (元) ,2022,29323.0,安徽省
农村居民人均消费支出 (元) ,2022,20154.0,安徽省
全体居民人均消费支出 (元) ,2023,23607.0,安徽省
城镇居民人均消费支出 (元) ,2023,27900.0,安徽省
农村居民人均消费支出 (元) ,2023,18905.0,安徽省
全体居民人均消费支出 (元) ,2024,22542.0,安徽省
城镇居民人均消费支出 (元) ,2024,26832.0,安徽省
农村居民人均消费支出 (元) ,2024,17980.0,安徽省
全体居民人均消费支出 (元) ,2025,21911.0,安徽省
城镇居民人均消费支出 (元) ,2025,26495.0,安徽省
农村居民人均消费支出 (元) ,2025,17163.0,安徽省
全体居民人均消费支出 (元) ,2021,,山东省
城镇居民人均消费支出 (元) ,2021,,山东省
农村居民人均消费支出 (元) ,2021,,山东省
全体居民人均消费支出 (元) ,2022,25645.0,山东省
城镇居民人均消费支出 (元) ,2022,31625.0,山东省
农村居民人均消费支出 (元) ,2022,17253.0,山东省
全体居民人均消费支出 (元) ,2023,24293.0,山东省
城镇居民人均消费支出 (元) ,2023,30251.0,山东省
农村居民人均消费支出 (元) ,2023,16075.0,山东省
全体居民人均消费支出 (元) ,2024,22640.0,山东省
城镇居民人均消费支出 (元) ,2024,28555.0,山东省
农村居民人均消费支出 (元) ,2024,14687.0,山东省
全体居民人均消费支出 (元) ,2025,22821.0,山东省
城镇居民人均消费支出 (元) ,2025,29314.0,山东省
农村居民人均消费支出 (元) ,2025,14299.0,山东省
全体居民人均消费支出 (元) ,2021,,山西省
城镇居民人均消费支出 (元) ,2021,,山西省
农村居民人均消费支出 (元) ,2021,,山西省
全体居民人均消费支出 (元) ,2022,21090.0,山西省
